GOID,ONTOLOGY,TERM,LINK
GO:0000811,CC,GINS complex,http://purl.obolibrary.org/obo/GO_0000811
GO:0000812,CC,Swr1 complex,http://purl.obolibrary.org/obo/GO_0000812
GO:0000813,CC,ESCRT I complex,http://purl.obolibrary.org/obo/GO_0000813
GO:0000814,CC,ESCRT II complex,http://purl.obolibrary.org/obo/GO_0000814
GO:0000815,CC,ESCRT III complex,http://purl.obolibrary.org/obo/GO_0000815
GO:0000819,BP,sister chromatid segregation,http://purl.obolibrary.org/obo/GO_0000819
GO:0000820,BP,regulation of glutamine family amino acid metabolic process,http://purl.obolibrary.org/obo/GO_0000820
GO:0000821,BP,regulation of arginine metabolic process,http://purl.obolibrary.org/obo/GO_0000821
GO:0000822,MF,inositol hexakisphosphate binding,http://purl.obolibrary.org/obo/GO_0000822
GO:0000823,MF,"inositol-1,4,5-trisphosphate 6-kinase activity",http://purl.obolibrary.org/obo/GO_0000823
GO:0000824,MF,inositol tetrakisphosphate 3-kinase activity,http://purl.obolibrary.org/obo/GO_0000824
GO:0000825,MF,inositol tetrakisphosphate 6-kinase activity,http://purl.obolibrary.org/obo/GO_0000825
GO:0000828,MF,inositol hexakisphosphate kinase activity,http://purl.obolibrary.org/obo/GO_0000828
GO:0000829,MF,inositol heptakisphosphate kinase activity,http://purl.obolibrary.org/obo/GO_0000829
GO:0000835,CC,ER ubiquitin ligase complex,http://purl.obolibrary.org/obo/GO_0000835
GO:0000836,CC,Hrd1p ubiquitin ligase complex,http://purl.obolibrary.org/obo/GO_0000836
