GOID,ONTOLOGY,TERM,LINK
GO:1990559,biological_process,mitochondrial coenzyme A transmembrane transport,http://purl.obolibrary.org/obo/GO_1990559
GO:0010022,biological_process,meristem determinacy,http://purl.obolibrary.org/obo/GO_0010022
GO:0010021,biological_process,amylopectin biosynthetic process,http://purl.obolibrary.org/obo/GO_0010021
GO:0010016,biological_process,shoot system morphogenesis,http://purl.obolibrary.org/obo/GO_0010016
GO:0010033,biological_process,response to organic substance,http://purl.obolibrary.org/obo/GO_0010033
GO:0010074,biological_process,maintenance of meristem identity,http://purl.obolibrary.org/obo/GO_0010074
GO:0048608,biological_process,reproductive structure development,http://purl.obolibrary.org/obo/GO_0048608
GO:0010073,biological_process,meristem maintenance,http://purl.obolibrary.org/obo/GO_0010073
GO:0009056,biological_process,catabolic process,http://purl.obolibrary.org/obo/GO_0009056
GO:0009059,biological_process,macromolecule biosynthetic process,http://purl.obolibrary.org/obo/GO_0009059
GO:0015711,biological_process,organic anion transport,http://purl.obolibrary.org/obo/GO_0015711
GO:2000896,biological_process,amylopectin metabolic process,http://purl.obolibrary.org/obo/GO_2000896
GO:0015748,biological_process,organophosphate ester transport,http://purl.obolibrary.org/obo/GO_0015748
GO:0097237,biological_process,cellular response to toxic substance,http://purl.obolibrary.org/obo/GO_0097237
GO:0048856,biological_process,anatomical structure development,http://purl.obolibrary.org/obo/GO_0048856
GO:0048868,biological_process,pollen tube development,http://purl.obolibrary.org/obo/GO_0048868
GO:0071368,biological_process,cellular response to cytokinin stimulus,http://purl.obolibrary.org/obo/GO_0071368
GO:0046394,biological_process,carboxylic acid biosynthetic process,http://purl.obolibrary.org/obo/GO_0046394
GO:0046395,biological_process,carboxylic acid catabolic process,http://purl.obolibrary.org/obo/GO_0046395
GO:0009404,biological_process,toxin metabolic process,http://purl.obolibrary.org/obo/GO_0009404
GO:0009403,biological_process,toxin biosynthetic process,http://purl.obolibrary.org/obo/GO_0009403
GO:0009314,biological_process,response to radiation,http://purl.obolibrary.org/obo/GO_0009314
GO:0034309,biological_process,primary alcohol biosynthetic process,http://purl.obolibrary.org/obo/GO_0034309
GO:0034308,biological_process,primary alcohol metabolic process,http://purl.obolibrary.org/obo/GO_0034308
GO:0009395,biological_process,phospholipid catabolic process,http://purl.obolibrary.org/obo/GO_0009395
GO:0071310,biological_process,cellular response to organic substance,http://purl.obolibrary.org/obo/GO_0071310
GO:0009058,biological_process,biosynthetic process,http://purl.obolibrary.org/obo/GO_0009058
GO:0010038,biological_process,response to metal ion,http://purl.obolibrary.org/obo/GO_0010038
GO:0010035,biological_process,response to inorganic substance,http://purl.obolibrary.org/obo/GO_0010035
GO:0009062,biological_process,fatty acid catabolic process,http://purl.obolibrary.org/obo/GO_0009062
GO:0046148,biological_process,pigment biosynthetic process,http://purl.obolibrary.org/obo/GO_0046148
GO:0046165,biological_process,alcohol biosynthetic process,http://purl.obolibrary.org/obo/GO_0046165
GO:0071106,biological_process,"adenosine 3',5'-bisphosphate transmembrane transport",http://purl.obolibrary.org/obo/GO_0071106
GO:0009110,biological_process,vitamin biosynthetic process,http://purl.obolibrary.org/obo/GO_0009110
GO:0010154,biological_process,fruit development,http://purl.obolibrary.org/obo/GO_0010154
GO:0009141,biological_process,nucleoside triphosphate metabolic process,http://purl.obolibrary.org/obo/GO_0009141
GO:0009142,biological_process,nucleoside triphosphate biosynthetic process,http://purl.obolibrary.org/obo/GO_0009142
GO:0000377,biological_process,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",http://purl.obolibrary.org/obo/GO_0000377
GO:1990748,biological_process,cellular detoxification,http://purl.obolibrary.org/obo/GO_1990748
GO:0000375,biological_process,"RNA splicing, via transesterification reactions",http://purl.obolibrary.org/obo/GO_0000375
GO:0000373,biological_process,Group II intron splicing,http://purl.obolibrary.org/obo/GO_0000373
GO:0048827,biological_process,phyllome development,http://purl.obolibrary.org/obo/GO_0048827
GO:0009237,biological_process,siderophore metabolic process,http://purl.obolibrary.org/obo/GO_0009237
GO:0009228,biological_process,thiamine biosynthetic process,http://purl.obolibrary.org/obo/GO_0009228
GO:0034214,biological_process,protein hexamerization,http://purl.obolibrary.org/obo/GO_0034214
GO:0009266,biological_process,response to temperature stimulus,http://purl.obolibrary.org/obo/GO_0009266
GO:0046246,biological_process,terpene biosynthetic process,http://purl.obolibrary.org/obo/GO_0046246
GO:0048367,biological_process,shoot system development,http://purl.obolibrary.org/obo/GO_0048367
GO:0048366,biological_process,leaf development,http://purl.obolibrary.org/obo/GO_0048366
GO:0048316,biological_process,seed development,http://purl.obolibrary.org/obo/GO_0048316
GO:0097305,biological_process,response to alcohol,http://purl.obolibrary.org/obo/GO_0097305
GO:0000302,biological_process,response to reactive oxygen species,http://purl.obolibrary.org/obo/GO_0000302
GO:0048461,biological_process,flower structural organization,http://purl.obolibrary.org/obo/GO_0048461
GO:0048564,biological_process,photosystem I assembly,http://purl.obolibrary.org/obo/GO_0048564
GO:0120251,biological_process,hydrocarbon biosynthetic process,http://purl.obolibrary.org/obo/GO_0120251
GO:0120252,biological_process,hydrocarbon metabolic process,http://purl.obolibrary.org/obo/GO_0120252
GO:0048532,biological_process,anatomical structure arrangement,http://purl.obolibrary.org/obo/GO_0048532
GO:0048507,biological_process,meristem development,http://purl.obolibrary.org/obo/GO_0048507
GO:0048511,biological_process,rhythmic process,http://purl.obolibrary.org/obo/GO_0048511
GO:0048731,biological_process,system development,http://purl.obolibrary.org/obo/GO_0048731
GO:0044085,biological_process,cellular component biogenesis,http://purl.obolibrary.org/obo/GO_0044085
GO:0009725,biological_process,response to hormone,http://purl.obolibrary.org/obo/GO_0009725
GO:0009723,biological_process,response to ethylene,http://purl.obolibrary.org/obo/GO_0009723
GO:0009719,biological_process,response to endogenous stimulus,http://purl.obolibrary.org/obo/GO_0009719
GO:0009753,biological_process,response to jasmonic acid,http://purl.obolibrary.org/obo/GO_0009753
GO:0009751,biological_process,response to salicylic acid,http://purl.obolibrary.org/obo/GO_0009751
GO:0009755,biological_process,hormone-mediated signaling pathway,http://purl.obolibrary.org/obo/GO_0009755
GO:0009736,biological_process,cytokinin-activated signaling pathway,http://purl.obolibrary.org/obo/GO_0009736
GO:0009735,biological_process,response to cytokinin,http://purl.obolibrary.org/obo/GO_0009735
GO:0009733,biological_process,response to auxin,http://purl.obolibrary.org/obo/GO_0009733
GO:0009739,biological_process,response to gibberellin,http://purl.obolibrary.org/obo/GO_0009739
GO:0009737,biological_process,response to abscisic acid,http://purl.obolibrary.org/obo/GO_0009737
GO:0009686,biological_process,gibberellin biosynthetic process,http://purl.obolibrary.org/obo/GO_0009686
GO:0009685,biological_process,gibberellin metabolic process,http://purl.obolibrary.org/obo/GO_0009685
GO:0009651,biological_process,response to salt stress,http://purl.obolibrary.org/obo/GO_0009651
GO:0009653,biological_process,anatomical structure morphogenesis,http://purl.obolibrary.org/obo/GO_0009653
GO:0009658,biological_process,chloroplast organization,http://purl.obolibrary.org/obo/GO_0009658
GO:0009657,biological_process,plastid organization,http://purl.obolibrary.org/obo/GO_0009657
GO:0022613,biological_process,ribonucleoprotein complex biogenesis,http://purl.obolibrary.org/obo/GO_0022613
GO:0034660,biological_process,ncRNA metabolic process,http://purl.obolibrary.org/obo/GO_0034660
